time,particle,x,y,z,u,v,w,temp,pres
0.300029,0,0.025604,-0.908616,0.000000,0.139743,-0.061152,0.000000,0.000000,6.436511
0.300029,0,0.024904,-0.908592,0.000000,0.135139,-0.025584,0.000000,0.000000,6.219405
0.300029,0,0.026019,-0.909607,0.000000,0.062562,-0.063752,0.000000,33.144308,6.559555
0.300029,0,0.027059,-0.910749,0.000000,0.079040,-0.009012,0.000000,0.000000,6.506125
0.300029,0,0.029811,-0.908961,0.000000,0.121997,0.026345,0.000000,0.000000,6.340569
0.300029,0,0.028058,-0.908846,0.000000,0.090952,-0.033945,0.000000,0.000000,5.357741
0.300029,0,0.028955,-0.908506,0.000000,0.072963,-0.043639,0.000000,0.000000,4.392956
0.300029,0,0.032257,-0.909162,0.000000,0.058929,-0.038361,0.000000,24.625281,6.555935
0.300029,0,0.052525,-0.910252,0.000000,0.184891,-0.009037,0.000000,9.235492,6.546430
0.300029,0,0.061079,-0.909150,0.000000,0.219137,-0.022452,0.000000,0.000000,4.271080
0.300029,0,0.059113,-0.908281,0.000000,0.213284,-0.059495,0.000000,0.000000,5.446044
0.300029,0,0.062387,-0.912365,0.000000,0.193380,0.004630,0.000000,64.101637,6.549175
0.300029,0,0.065224,-0.907577,0.000000,-0.053208,0.270479,0.000000,0.000000,0.272225
0.300029,0,0.066985,-0.911417,0.000000,0.263933,-0.023457,0.000000,80.494048,6.548031
0.300029,0,0.075606,-0.909024,0.000000,0.212035,0.055060,0.000000,185.488200,6.608733
0.300029,0,0.087113,-0.905911,0.000000,0.050121,0.211196,0.000000,0.000000,6.313827
0.300029,0,0.086550,-0.906141,0.000000,0.084519,0.052648,0.000000,48.142127,6.497519
0.300029,0,0.091566,-0.905923,0.000000,-0.046851,0.083433,0.000000,210.081528,6.595609
0.300029,0,0.085747,-0.900006,0.000000,-0.595484,-0.335191,0.000000,0.000000,4.861842
0.300029,0,0.097151,-0.902044,0.000000,-0.071544,-0.006028,0.000000,156.620319,6.462070
0.300029,0,0.092469,-0.894384,0.000000,-0.295696,-0.078150,0.000000,218.653554,6.662610
0.300029,0,0.085659,-0.902200,0.000000,-0.158522,-0.392384,0.000000,0.000000,0.889046
